id,familia,marca
23229,1.0,20.0
32492,7.0,33.0
76146,1.0,7.0
81710,1.0,213.0
23905,1.0,20.0
37104,2.0,38.0
12329,1.0,18.0
25539,1.0,23.0
35658,1.0,170.0
36776,1.0,38.0
36492,1.0,202.0
76202,1.0,7.0
84070,1.0,221.0
28832,1.0,30.0
77398,1.0,227.0
31636,20.0,33.0
83558,1.0,7.0
68544,6.0,206.0
19254,7.0,186.0
106346,1.0,18.0
14495,7.0,44.0
22895,1.0,20.0
30944,9.0,33.0
87269,1.0,176.0
33258,1.0,198.0
68388,9.0,39.0
21811,6.0,98.0
36046,1.0,170.0
81708,1.0,213.0
15069,7.0,44.0
81101,1.0,228.0
21999,7.0,98.0
78717,1.0,21.0
28144,7.0,194.0
15837,1.0,185.0
35088,1.0,161.0
92333,1.0,176.0
78603,1.0,21.0
14357,7.0,44.0
77516,1.0,227.0
20085,1.0,9.0
20947,7.0,76.0
86587,1.0,218.0
80323,1.0,229.0
83524,1.0,7.0
108427,1.0,7.0
34288,1.0,160.0
27283,1.0,25.0
15661,7.0,44.0
75592,1.0,7.0
72473,1.0,137.0
91349,1.0,270.0
16949,7.0,186.0
67702,1.0,10.0
104835,1.0,65.0
28996,1.0,32.0
24911,1.0,20.0
20739,9.0,188.0
90591,1.0,176.0
31798,7.0,33.0
105808,1.0,226.0
78158,1.0,213.0
15899,1.0,185.0
79359,1.0,21.0
73881,1.0,219.0
82879,1.0,214.0
31380,20.0,33.0
22343,7.0,110.0
83576,1.0,7.0
13525,1.0,2.0
29666,20.0,33.0
16977,7.0,186.0
92632,1.0,227.0
9070,1.0,18.0
26407,1.0,23.0
77670,1.0,227.0
18212,7.0,186.0
36138,1.0,170.0
34394,7.0,201.0
91211,2.0,213.0
14177,7.0,44.0
71397,9.0,211.0
71515,1.0,165.0
14485,7.0,44.0
93361,2.0,213.0
86125,1.0,176.0
88359,1.0,239.0
86759,1.0,176.0
74098,1.0,219.0
27345,1.0,25.0
8824,1.0,18.0
16071,1.0,185.0
28688,1.0,30.0
20265,7.0,67.0
77168,1.0,7.0
70519,7.0,19.0
17360,7.0,186.0
67980,9.0,39.0
16157,1.0,185.0
18974,7.0,186.0
33272,1.0,198.0
17968,7.0,186.0
33944,1.0,156.0
81465,1.0,214.0
33904,7.0,199.0
93997,1.0,244.0
32710,7.0,33.0
89402,1.0,270.0
26157,1.0,23.0
32104,1.0,33.0
13091,8.0,2.0
32274,1.0,33.0
10046,1.0,18.0
28658,1.0,30.0
32676,7.0,33.0
16639,1.0,185.0
36412,1.0,170.0
25255,1.0,20.0
108589,1.0,65.0
74242,1.0,219.0
17590,7.0,186.0
68451,7.0,39.0
26491,1.0,23.0
89706,1.0,213.0
108573,1.0,65.0
69669,8.0,27.0
33706,1.0,198.0
36646,1.0,38.0
35216,1.0,165.0
33166,1.0,198.0
32752,7.0,33.0
26845,1.0,25.0
16659,1.0,185.0
14457,7.0,44.0
27141,1.0,25.0
88255,1.0,239.0
87975,1.0,251.0
78397,1.0,21.0
90325,1.0,255.0
74484,1.0,7.0
29324,1.0,32.0
102955,1.0,7.0
83344,1.0,214.0
30360,18.0,33.0
71413,9.0,211.0
67543,7.0,39.0
73987,1.0,219.0
35176,1.0,165.0
83520,1.0,7.0
85594,1.0,29.0
29714,20.0,33.0
75528,1.0,7.0
86273,1.0,247.0
111565,2.0,174.0
92794,1.0,234.0
25871,1.0,23.0
77454,1.0,227.0
105588,1.0,226.0
21631,6.0,98.0
32128,1.0,33.0
108695,1.0,65.0
77436,1.0,227.0
78567,1.0,21.0
110641,1.0,174.0
80601,1.0,213.0
15185,7.0,44.0
20255,7.0,67.0
33834,1.0,198.0
27720,1.0,25.0
9048,1.0,18.0
23601,2.0,20.0
36026,1.0,170.0
89734,1.0,213.0
25951,1.0,23.0
19024,7.0,186.0
23109,1.0,20.0
17286,7.0,186.0
72111,5.0,196.0
104802,1.0,7.0
74688,1.0,7.0
93651,1.0,7.0
78417,2.0,21.0
31028,9.0,33.0
93610,1.0,78.0
81149,1.0,231.0
18630,7.0,186.0
80259,1.0,229.0
36754,1.0,38.0
15099,7.0,44.0
93720,1.0,78.0
33604,1.0,198.0
67079,7.0,39.0
11303,1.0,18.0
27055,1.0,25.0
68707,8.0,6.0
18876,7.0,186.0
85400,1.0,29.0
28174,7.0,194.0
14011,7.0,44.0
14235,7.0,44.0
31764,7.0,33.0
84830,1.0,29.0
35998,1.0,170.0
21609,6.0,98.0
81818,1.0,235.0
13263,7.0,2.0
69883,8.0,27.0
87605,1.0,249.0
75146,1.0,7.0
76128,1.0,7.0
74644,1.0,7.0
76226,1.0,7.0
84468,1.0,221.0
92095,1.0,176.0
28096,1.0,194.0
105874,1.0,226.0
12490,1.0,18.0
36812,1.0,38.0
20361,7.0,67.0
74208,7.0,15.0
21157,7.0,76.0
14839,7.0,44.0
16487,1.0,185.0
75250,1.0,7.0
36680,1.0,38.0
29994,7.0,33.0
104352,1.0,228.0
23175,1.0,20.0
28670,1.0,30.0
35926,1.0,170.0
72249,5.0,196.0
77742,1.0,227.0
85424,1.0,29.0
91987,1.0,176.0
113457,1.0,18.0
13675,7.0,184.0
80509,1.0,228.0
81646,1.0,235.0
31026,9.0,33.0
29440,9.0,33.0
74072,7.0,217.0
9824,1.0,18.0
26009,1.0,23.0
27089,1.0,25.0
13683,8.0,184.0
26123,1.0,23.0
